Playlist URL,Playlist Title,Playlist Description
https://open.spotify.com/playlist/1Yo1n8SlaPtXZry1poMS7D,HIP HOP 2024 🔥 New Rap & Trap Hits,best rap songs of 2024 most popular trending today hiphop music viral top 100 latest hip-hop mix hottest pop rap melodic grime uk drill
https://open.spotify.com/playlist/2QT68Q0egPz7uYqcwkmNTL,acoustic/singer songwriter tunes,"a mix of mellow acoustic &amp; singer songwriter heartfelt tunes | acoustic hits, indie folk, mellow music, calm and relaxing, acoustic love songs, indie acoustic, singer songwriters, chill guitars. IG - @sugarcoat.music"
https://open.spotify.com/playlist/3UFTGPzA9kx3DPFkTf5Z4W,alternative/indie rock jams,"the best alternative and indie tunes you’ll ever find | alternative music, indie rock, guitar heavy, guitar licks, guitar riffs. IG - @sugarcoat.music"
https://open.spotify.com/playlist/0tIHZPCv0MeCb3wnsFllAg,indie pop - happy/chill,"Happy and chill indie pop tracks | bedroom pop, indie pop, happy music, roadtrip vibes, indie pop hits. IG - @sugarcoat.music"
https://open.spotify.com/playlist/3RD5CPOp3Op4UkX2k7ZIB0,Groundbreaking Alternative Rock,"Rock that hits and breaks the ground! Good alternative rock, pop punk, and much more! State Champs, Green Day, Neck Deep... Submissions: https:&#x2F;&#x2F;sbmt.to&#x2F;ferran-alemany"
https://open.spotify.com/playlist/3USxehW5D06csyxeztfOQw,Headbanging Modern Rock,"The best of modern rock, post rock, progressive music and much more! Caskets, BMTH, Unprocessed, I Prevail, Leprous, Rain City Drive, Normandie, Silverstein... Submissions: https:&#x2F;&#x2F;sbmt.to&#x2F;ferran-alemany"
https://open.spotify.com/playlist/06JU44DGrxdEv2XGuvaB7j,"R&B Classics 90s & 2000s - Best Old School RnB Hits Playlist - Usher, Chris Brown, Ne-Yo, Mario","90s-00s Rnb Classics - Best r&amp;b Music - Best Rnb Love Songs of All Time - R&amp;b All Time Favorites &#x2F; Favourites - Best of Neyo, Usher, Chris Brown, Ne-Yo, Sisqo, Craig David, Mario, Nelly, Akon, Mariah Carey, Boyz II Men"
https://open.spotify.com/playlist/1NnHXIYxHBZL4g6Jhbsoy7,rap hits 2024,the greatest rap hits of our time | best of rap 2023 - rap hits - rap music - hip hop - best hip hop - viral hits - trap hits - top rap - rap vibes - hype rap - new release - classic rap - roadtrips - hanging out - chilling - workout rap - workout music - intense training music | IG - @theskadoosh
https://open.spotify.com/playlist/3vmLO1ujAsDR8qiEfL4sBM,viral dance party hits 2024,Perfect dance pop tunes for house parties | dance pop - edm - house party music - dance beats - dance vibe - electronic dance music - fun music - party music - dance hits - party hits - pop songs - upbeat music - viral music - house music - club remix - dj remix - latest music | IG - @theskadoosh
https://open.spotify.com/playlist/7M4pAYnbACdHJ6TgYZSbny,indie rock and alternative music 2024,The ultimate alternative&#x2F;indie garage rock music | best indie rock - alt rock - best garage rock - perfect for headbanging - alternative rock - alt garage rock - indie rock 2023 - roadtrip -  feel good music - catchy rock tunes - distorted guitars - powerful tunes | IG - @theskadoosh
https://open.spotify.com/playlist/4OQsa3s2R4nrNB0aptukIS,indie pop and dream pop vibes 2024,Your favorite dreamy bedroom pop jams | best indie pop - best dreampop - indie pop - dreampop - shogaze - chill jams - dreamy music - perfect for hanging out - perfect for chilling - perfect with friends - perfect for roadtrips - roadtrip vibes - roadtrip mood | IG - @theskadoosh
https://open.spotify.com/playlist/37i9dQZF1DX1tz6EDao8it,Iconic Soundtracks,"Timeless, unforgettable melodies from the movies."
https://open.spotify.com/playlist/37i9dQZF1DWW7gj0FcGEx6,Soundtracked,"The latest, greatest soundtracks from the big and small screen."
https://open.spotify.com/playlist/6gigKx69oIoA8AW3nvuNCm,Saltburn - Soundtrack,"Music From and Inspired by Saltburn. Featuring Music From Sophie Ellis-Bextor, Bloc Party, MGMT, Arcade Fire, The Killers, Anthony Willis, and More."
https://open.spotify.com/playlist/2yVbj8pwhrmmLHXEB6vZcB,Wonka - Soundtrack,Every Good Thing in This World Started With a Dream. Listen to the Music From and Inspired by Wonka.
https://open.spotify.com/playlist/5E6bJCLEYNd6bRQhQk3wjh,Heartstopper Season 3 - Soundtrack,Show the World What Love Is Made Of. Listen to the Music From and Inspired by Heartstopper Season 3. Includes &quot;BIRDS OF A FEATHER&quot; by Billie Eilish.
